# p2_filt_x, p2_filt_y, p2_smoothed_x, p2_smoothed_y
1.719398950903435619e+01, 1.853734268888532100e+01, 7.826927417754784067e+00, 8.674114995915452653e+00
1.716139109114971006e+01, 1.850396718324673984e+01, 7.832146341888805985e+00, 8.683836430527607675e+00
1.713243790809219291e+01, 1.846949479960779072e+01, 7.840553338784223669e+00, 8.694738258801782749e+00
1.709015405765176965e+01, 1.843221951447739215e+01, 7.855086078664305305e+00, 8.707593570707928166e+00
1.704850508620446803e+01, 1.839516730134621625e+01, 7.847820524168877654e+00, 8.710267297303346368e+00
1.701658695773347318e+01, 1.836265058810103312e+01, 7.841273160161888356e+00, 8.712941187642725183e+00
1.697469587763318799e+01, 1.832511365577917672e+01, 7.849384575862357494e+00, 8.724094022182859121e+00
1.694318595853787102e+01, 1.827683671346264305e+01, 7.842423844055539384e+00, 8.725574528605669400e+00
1.691361273594766601e+01, 1.824513130420323392e+01, 7.857900572570006403e+00, 8.727115740170626523e+00
1.688586257920388789e+01, 1.821277995755377788e+01, 7.869503305554498951e+00, 8.739290702142200828e+00
1.685363903830712218e+01, 1.818119432837100646e+01, 7.884303435941802718e+00, 8.752206123740625898e+00
1.682145329215411422e+01, 1.814967848632957725e+01, 7.890585428169672788e+00, 8.763454470668822438e+00
1.678589744843168674e+01, 1.811594533794373874e+01, 7.896841257119419311e+00, 8.774478988092621279e+00
1.675367505774574539e+01, 1.808436849044890593e+01, 7.899080500414950912e+00, 8.781047104329420705e+00
1.671395345802445220e+01, 1.804969034215561763e+01, 7.905430874279178788e+00, 8.791092439110967049e+00
1.667252271298263722e+01, 1.801247782666833430e+01, 7.900285499415063306e+00, 8.794812671151188255e+00
1.663992655530424258e+01, 1.798173071347850893e+01, 7.893715775033011361e+00, 8.795132264962962410e+00
1.659160368761224902e+01, 1.794199153452014883e+01, 7.897563210359190400e+00, 8.805433625567575362e+00
1.654809099706120179e+01, 1.790406949367119438e+01, 7.879465321348717133e+00, 8.800158045753619263e+00
1.650052493252611896e+01, 1.786501385309083645e+01, 7.868565063370407842e+00, 8.797887492596613512e+00
1.646535296016744709e+01, 1.783275426053091550e+01, 7.850414278487776620e+00, 8.792454914579160175e+00
1.643704486404549314e+01, 1.780344544655329031e+01, 7.849917692392999413e+00, 8.797675425273665084e+00
1.639851484314966257e+01, 1.776978008313001567e+01, 7.858419266279280002e+00, 8.810024136979665244e+00
1.637166452963493057e+01, 1.774080218430568223e+01, 7.852422403234620596e+00, 8.812144034199590692e+00
1.634596187467186823e+01, 1.771176174294967254e+01, 7.864191533521076138e+00, 8.823679610848406796e+00
1.630051116713909209e+01, 1.767478285907770896e+01, 7.877725590554051749e+00, 8.836137093195898018e+00
1.626112187641482976e+01, 1.764109269323676443e+01, 7.861376278228711989e+00, 8.832054697927555154e+00
1.623022554176774790e+01, 1.761193855445611334e+01, 7.853286816031894269e+00, 8.832833037345464433e+00
1.620371065584597048e+01, 1.758343412970371133e+01, 7.856812785638606300e+00, 8.841261391117429369e+00
1.617930399716047418e+01, 1.754891124853661211e+01, 7.866178282143878597e+00, 8.854412298173006235e+00
1.614532543403142029e+01, 1.751885835660165469e+01, 7.883892498757436584e+00, 8.865503290805110126e+00
1.611247324632563149e+01, 1.748899635234380412e+01, 7.882483424734544997e+00, 8.871270838844088402e+00
1.608012131320047544e+01, 1.745998487395619847e+01, 7.882961950104673043e+00, 8.877362677460885365e+00
1.605258391585001831e+01, 1.743217415737433384e+01, 7.883165293814144547e+00, 8.884416810552261623e+00
1.602054005695621441e+01, 1.740285585442512328e+01, 7.891340351068283354e+00, 8.894495103755147625e+00
1.598772365663910833e+01, 1.737342037657550264e+01, 7.892526621064798853e+00, 8.900842571251292412e+00
